FeatureNum	ProbeName	GeneSymbol
220	A_30_P01024162	
221	A_55_P2154480	Ctxn2
222	A_55_P2140328	
223	A_55_P2110532	4930578E11Rik
224	A_30_P01026277	
225	A_52_P306236	Epha7
226	A_30_P01029410	
227	A_55_P2383283	2310001H17Rik
228	A_55_P2188624	4933409D19Rik
229	A_55_P2087518	Exoc8
230	A_55_P1970954	Pknox2
231	A_52_P329398	Atp12a
232	A_55_P2328787	6030451C04Rik
233	A_66_P120567	Anxa1
234	A_55_P2038640	Gcn1l1
235	A_55_P2091831	Krtap1-4
236	A_51_P100298	Stx3
237	A_55_P2255399	F630048H11Rik
238	A_55_P2173952	Myh6
239	A_30_P01021519	
240	A_51_P113906	Gkn2
241	A_55_P2032024	Uggt2
242	A_51_P401386	Gm10610
243	A_51_P116088	Rexo2
244	A_30_P01028923	
245	A_51_P114634	Amz1
246	A_51_P122238	Uchl5
247	A_51_P114616	Batf
248	A_52_P120122	
249	A_51_P474658	Esr1
250	A_55_P2185676	Ssty1
251	A_30_P01024186	
252	A_30_P01017954	
253	A_66_P115757	Mthfd2l
254	A_55_P2094324	Olfr486
255	A_30_P01020068	
256	A_52_P266320	Akap17b
257	A_55_P2001753	
258	A_30_P01026173	
259	A_55_P2136606	Crnn
260	A_55_P2065074	Hdac9
261	A_30_P01029687	
262	A_51_P125691	Cdca4
263	A_52_P643087	Olfr315
264	A_51_P117236	Zfp354a
265	A_51_P519251	Nupr1
266	A_52_P476431	Evc
267	A_55_P2047168	Notch1
268	A_55_P2064180	Hormad1
269	A_55_P2031966	Fbxo39
270	A_51_P476960	Csmd3
271	ERCC-00148_99	
272	A_55_P2037643	
273	A_55_P1955701	Gm6146
274	A_66_P135165	Nfib
275	A_55_P2129691	AB124611
276	A_51_P112734	Slc7a8
277	A_55_P2025203	Hrasls5
278	A_30_P01027714	
279	A_55_P2017964	Unc13a
280	A_30_P01030671	
281	A_30_P01020443	
282	ERCC-00081_60	
283	A_30_P01018957	
284	A_55_P2045777	
285	A_55_P2059860	Igsf1
286	A_55_P1953003	Atp6v0a4
287	A_51_P126365	Gzmn
288	A_55_P1955532	Tfr2
289	A_55_P2070786	Mrps14
290	A_55_P2027412	
291	A_51_P117087	Kcnip1
292	A_51_P144770	2410002F23Rik
293	A_51_P120589	Olfr181
294	A_55_P2404808	2210406H18Rik
295	A_30_P01020409	
296	A_30_P01025161	
297	A_52_P114282	Armcx5
298	A_55_P1978018	Gm5795
299	A_30_P01031829	
300	A_55_P2045824	Speer3
301	A_30_P01020248	
302	A_52_P66520	Clec12a
303	A_55_P2081273	Gabbr2
304	A_52_P365011	Fes
305	A_52_P580582	Nppa
306	A_55_P2117033	Mtmr3
307	3xSLv1	
308	A_55_P1975456	Nfyb
309	A_55_P2109342	Rnps1
310	A_30_P01031351	
311	A_55_P2408330	Rbm33
312	A_55_P2134427	
313	A_55_P2062324	
314	A_52_P431294	Gm4894
315	A_55_P2130104	Slc52a3
316	A_51_P104718	Gpr12
317	A_30_P01018437	
318	A_51_P118132	Skil
319	A_55_P2102664	
320	A_51_P435198	Cryz
321	A_51_P218041	Tatdn1
322	A_51_P165934	Phb
323	A_55_P1987336	
324	A_51_P121818	Prkag1
325	A_30_P01026525	
326	DarkCorner	
327	DarkCorner	
328	GE_BrightCorner	
329	DarkCorner	
330	DarkCorner	
331	A_30_P01028640	
332	A_51_P117115	Olfr53
333	A_30_P01027048	
334	A_30_P01028853	
335	A_55_P1964648	Btla
336	A_55_P2102816	Rpl36a
337	A_55_P1955483	Grb14
338	A_51_P124719	Ccdc93
339	A_51_P211325	Nudt2
340	A_55_P2164055	Efcab12
341	A_30_P01031037	
342	A_30_P01029915	
343	A_55_P2039044	Cyp3a59
344	A_30_P01022811	
345	A_55_P2025258	
346	ERCC-00053_71	
347	A_30_P01027121	
348	A_51_P180176	Gm16223
349	A_51_P236469	Metap1d
350	A_55_P1961433	
351	A_55_P1964368	Kctd14
352	A_55_P2248095	4930565N06Rik
353	A_55_P2164221	Tpt1
354	A_51_P114966	Prss37
355	A_30_P01023864	
356	A_55_P2092958	Traf2
357	A_55_P2131979	March1
358	A_30_P01027040	
359	A_51_P100625	Apon
360	A_52_P586004	Hk3
361	A_30_P01031282	
362	ERCC-00158_78	
363	A_51_P224175	2210016F16Rik
364	A_55_P2088268	Olfr782
365	A_55_P2047196	1700029I15Rik
366	ERCC-00003_63	
367	A_30_P01025872	
368	A_66_P104833	Slc30a8
369	A_30_P01025563	
370	A_55_P2009943	Spen
371	A_55_P2002954	
372	A_51_P385635	Mrpl53
373	A_55_P2246700	
374	A_30_P01030768	
375	A_55_P2117764	Vangl2
376	A_30_P01025002	
377	A_55_P1995427	Nxf2
378	A_52_P373893	Acvr1b
379	A_52_P23661	Cldn19
380	ERCC-00062_278	
381	A_30_P01024081	
382	A_55_P2115141	Lcor
383	A_55_P2180156	
384	ETG10_13482	
385	A_30_P01024923	
386	A_30_P01024501	
387	A_55_P2178036	Serpina6
388	A_55_P2114838	
389	A_30_P01033284	
390	A_52_P339722	Csnk1a1
391	A_52_P488427	Sec14l2
392	A_55_P1975667	Rhox4g
393	A_30_P01020724	
394	A_55_P2117146	Pa2g4
395	A_55_P1991440	Zscan21
396	A_30_P01031650	
397	A_30_P01030711	
398	A_55_P1958503	LOC102637808
399	A_52_P67995	Eif4a3
400	A_66_P114042	Kctd7
401	A_55_P2457153	G2e3
402	A_52_P111845	Nxph2
403	A_51_P482148	Mecom
404	A_55_P2125823	
405	A_66_P102581	Ube2z
406	A_55_P1986701	Aldh3b3
407	A_51_P112355	Igtp
408	A_55_P2088237	Cyp27b1
409	A_51_P179531	Flt4
410	A_55_P2040583	Map6d1
411	A_30_P01031337	
412	A_55_P1991770	Pdlim4
413	ERCC-00039_95	
414	A_51_P117604	Rab5a
415	A_55_P1994633	Stkld1
416	A_52_P347764	Lrrc74b
417	A_55_P2400691	Arhgap21
418	A_30_P01025678	
419	A_30_P01030886	
420	A_55_P1978336	Tmem170b
421	(+)E1A_r60_a22	
422	A_30_P01031093	
423	A_51_P435363	Lipe
424	A_52_P116134	Aldh2
425	A_55_P1960659	Fer1l6
426	A_55_P1991945	
427	A_66_P114582	
428	A_55_P2055864	Dvl2
429	A_66_P111490	LOC102632690
430	A_55_P2106700	Vmn2r59
431	A_30_P01029368	
432	A_55_P2107995	Psd
433	A_55_P2139886	Sft2d1
434	A_52_P257758	Reg4
435	A_55_P1972991	Pcsk6
436	A_30_P01018376	
437	A_52_P116253	Atf2
438	A_55_P2202184	4933400F21Rik
439	A_30_P01027718	
440	A_30_P01025243	
441	A_51_P232142	Thumpd3
442	A_51_P112308	1810011O10Rik
443	A_55_P2077497	BC005624
444	A_55_P1997585	
445	A_30_P01032673	
446	ERCC-00147_344	
447	A_55_P2159865	Zfp59
448	A_55_P2115851	Cemip
449	ERCC-00012_90	
450	A_55_P2013158	Ablim1
451	A_30_P01033143	
452	A_55_P2089467	
453	A_52_P637282	Wipf1
454	A_65_P16630	Wdcp
455	A_55_P2048508	
456	A_30_P01031930	
457	A_30_P01027340	
458	A_55_P2149791	
459	A_30_P01029403	
460	A_66_P101786	Gm10748
461	A_55_P2085979	Igf1
462	A_51_P217598	4932442E05Rik
463	A_55_P2358299	AU021128
464	A_55_P1969885	
465	3xSLv1	
466	A_55_P2287105	4933407C09Rik
467	A_55_P2073642	1600014C10Rik
468	A_30_P01024658	
469	A_30_P01017657	
470	A_51_P101375	St6gal1
471	A_30_P01031899	
472	A_52_P401475	Ubxn4
473	A_55_P2001510	
474	A_55_P2021378	Wapl
475	A_30_P01032696	
476	A_30_P01033588	
477	A_55_P2051787	Gbx1
478	A_55_P2038822	Jph4
479	A_55_P2027042	Olfr629
480	A_55_P2114697	Gcm1
481	A_30_P01026324	
482	A_30_P01020924	
483	A_55_P1992530	Clec4b1
484	A_55_P2106801	Bglap3
485	A_55_P2170817	AI847159
486	A_55_P1967478	Hbb-y
487	A_55_P1968320	Agbl3
488	A_30_P01025820	
489	A_30_P01032978	
490	A_55_P2089500	Cyp4f40
491	DarkCorner	
492	DarkCorner	
493	DarkCorner	
494	A_30_P01019936	
495	A_55_P2023523	Aloxe3
496	A_51_P124798	Tmem192
497	A_55_P1952915	Sh3bgr
498	A_55_P1977345	Olfr191
499	A_55_P2123484	Gm11627
500	A_30_P01027307	
501	A_55_P2262743	LOC102639385
502	A_55_P2164694	
503	A_55_P2083454	Gm10844
504	A_52_P127362	Vmp1
505	A_55_P1954388	Vmn2r72
506	A_55_P2029895	
507	A_66_P108468	2610528A11Rik
508	A_30_P01033203	
509	ERCC-00077_121	
510	A_51_P103706	Cyp2c29
511	A_55_P2051414	Axl
512	3xSLv1	
513	A_55_P1993353	Slc44a5
514	A_30_P01020233	
515	A_30_P01022026	
516	A_52_P45841	Gorasp1
517	A_55_P2049597	Tpp2
518	A_51_P100624	Krtap9-3
519	A_66_P100496	Speer4b
520	A_55_P1974804	Slc24a4
521	A_30_P01030305	
522	A_55_P2179074	Ciita
523	A_30_P01020670	
524	A_55_P1979650	S100a1
525	A_52_P487436	Nags
526	A_52_P1035965	Flg2
527	A_55_P2081885	
528	A_52_P409675	Wdr11
529	A_55_P2132932	Mageb1
530	A_51_P148478	Olfr510
531	A_52_P745	Acox3
532	A_55_P2079024	
533	A_30_P01031719	
534	A_55_P1973543	Bbs10
535	A_51_P396385	Mars2
536	A_55_P2278093	AI480461
537	A_55_P2095899	2310057B04Rik
538	A_51_P201480	Stat3
539	A_66_P105497	Gm5429
540	A_55_P2142439	Echdc2
541	A_30_P01020448	
542	A_55_P2085165	
543	ERCC-00131_64	
544	A_55_P2084152	
545	A_30_P01027826	
546	A_55_P1974869	Hormad1
547	A_30_P01029261	
548	A_30_P01028709	
549	A_30_P01029850	
550	A_30_P01019177	
551	A_30_P01026635	
552	A_55_P2272563	4933416O17Rik
553	A_52_P671676	Rasgrf1
554	A_51_P102789	C1qc
555	A_55_P2055419	Arid4a
556	A_30_P01022480	
557	A_55_P1987064	
558	A_55_P2149382	Gm3448
559	A_30_P01019077	
560	A_30_P01032336	
561	A_51_P129100	Sec63
562	A_55_P1958103	
563	A_30_P01019598	
564	A_30_P01018965	
565	A_51_P141071	Cand2
566	A_66_P117450	Olfr1317
567	A_51_P261569	Fbxw26
568	A_30_P01023352	
569	A_52_P169595	Skint11
570	A_55_P1971398	
571	A_51_P475138	Duox1
572	A_66_P108178	Lin52
573	A_51_P462102	Adgra3
574	A_52_P282905	Ces1b
575	A_52_P581326	Hcfc2
576	A_55_P2081020	Gpr20
577	A_51_P137168	Smarcal1
578	A_30_P01018931	
579	A_51_P108334	Slc25a4
580	ERCC-00109_120	
581	A_55_P2066737	
582	ERCC-00120_69	
583	A_66_P125209	Kif2c
584	A_51_P104897	Itpr3
585	A_51_P253207	Slc51a
586	A_30_P01023061	
587	A_55_P1975385	Dctn1
588	A_30_P01021748	
589	A_30_P01028040	
590	A_30_P01019706	
591	A_55_P2378129	D11Ertd80e
592	A_66_P104814	Trak1
593	A_65_P14622	Gm13084
